ACQ Timestamp (Server Time in UTC), MessageID, Data Value For: SeaTemp-2MinAvg-Message
2023-08-10T17:20:17.4285268Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,-∞,14.9086
2023-08-10T17:20:18.4580583Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,-∞,14.9644
2023-08-10T17:20:19.4988503Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,-∞,14.9783
2023-08-10T17:20:20.5283869Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,-∞,14.9885
2023-08-10T17:20:21.5681862Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,-∞,15.0002
2023-08-10T17:20:22.6086648Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,-∞,15.0118
2023-08-10T17:20:23.6382009Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,-∞,15.0212
2023-08-10T17:20:24.6782848Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,-∞,15.0261
2023-08-10T17:20:25.7187764Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,-∞,15.0273
2023-08-10T17:20:26.7487927Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,-∞,15.0288
2023-08-10T17:20:27.7887877Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,-∞,15.0294
2023-08-10T17:20:28.8185620Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,-∞,15.0328
2023-08-10T17:20:29.8590545Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,-∞,15.0445
2023-08-10T17:20:30.8889875Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,-∞,15.0444
2023-08-10T17:20:31.9294830Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,-∞,15.0402
2023-08-10T17:20:32.9689761Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,-∞,15.0351
2023-08-10T17:20:33.9995041Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,-∞,15.0343
2023-08-10T17:20:35.0396990Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,-∞,15.0419
2023-08-10T17:20:36.0694064Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,-∞,15.0374
2023-08-10T17:20:37.1101179Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,-∞,15.0182
2023-08-10T17:20:38.1398274Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,-∞,14.9872
2023-08-10T17:20:39.1793151Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,-∞,14.9803
2023-08-10T17:20:40.2199592Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,-∞,14.9923
2023-08-10T17:20:41.2494954Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,-∞,14.9936
2023-08-10T17:20:42.2896734Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,-∞,14.9608
2023-08-10T17:20:43.3201984Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,-∞,14.9292
2023-08-10T17:20:44.3597678Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,-∞,14.9351
2023-08-10T17:20:45.4004949Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,-∞,14.9539
2023-08-10T17:20:46.4300317Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,-∞,14.9582
2023-08-10T17:20:47.4705181Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,-∞,14.9372
2023-08-10T17:20:48.5000548Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,-∞,14.9222
2023-08-10T17:20:49.5405434Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,-∞,14.9303
2023-08-10T17:20:50.5710784Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,-∞,14.9459
2023-08-10T17:20:51.6105602Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,-1.59087888040913E+306,14.9344
2023-08-10T17:20:52.6530562Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,-1.5769238025108E+306,14.8739
2023-08-10T17:20:53.6812817Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,-1.5632114216194E+306,14.8204
2023-08-10T17:20:54.7208540Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,15,14.8104
2023-08-10T17:20:55.7511871Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,15,14.8473
2023-08-10T17:20:56.7908604Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,15,14.8944
2023-08-10T17:20:57.8207067Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,15,14.8981
2023-08-10T17:20:58.8612772Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,15,14.8519
2023-08-10T17:20:59.9007686Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,15,14.831
2023-08-10T17:21:00.9352863Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,15,14.8653
2023-08-10T17:21:01.9717610Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,15,14.9059
2023-08-10T17:21:03.0114105Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,15,14.8953
2023-08-10T17:21:04.0419353Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,15,14.879
2023-08-10T17:21:05.0815629Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,15,14.8934
2023-08-10T17:21:06.1112726Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,15,14.9159
2023-08-10T17:21:07.1521103Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,15,14.9249
2023-08-10T17:21:08.1822978Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,15,14.9252
2023-08-10T17:21:09.2217815Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,15,14.9251
2023-08-10T17:21:10.2624190Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,15,14.9071
2023-08-10T17:21:11.2919527Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,15,14.8883
2023-08-10T17:21:12.3324444Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,15,14.9069
2023-08-10T17:21:13.3721634Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,15,14.9294
2023-08-10T17:21:14.4026949Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,15,14.946
2023-08-10T17:21:15.4421863Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,15,14.9358
2023-08-10T17:21:16.4727104Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,15,14.924
2023-08-10T17:21:17.5122068Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,15,14.9248
2023-08-10T17:21:18.5427334Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,15,14.9281
2023-08-10T17:21:19.5822286Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,15,14.9028
2023-08-10T17:21:20.6227150Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,15,14.8849
2023-08-10T17:21:21.6532414Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,15,14.8942
