ACQ Timestamp (Server Time in UTC), MessageID, Data Value For: TSG-2174150-3326-Message
2023-07-30T07:43:44.3186037Z, 7eda8203-a249-e411-b0cc-f8bc1246af59,      176509        14.1856         4.009466        33.1267        14.3074      1502.27        57.7533
2023-07-30T07:43:47.3185929Z, 7eda8203-a249-e411-b0cc-f8bc1246af59,      176510        14.2061         4.009566        33.1100        14.3193      1502.29        57.7747
2023-07-30T07:43:50.3195807Z, 7eda8203-a249-e411-b0cc-f8bc1246af59,      176511        14.2161         4.009866        33.1043        14.3842      1502.49        57.8915
2023-07-30T07:43:53.3195575Z, 7eda8203-a249-e411-b0cc-f8bc1246af59,      176512        14.2168         4.010164        33.1064        14.2853      1502.18        57.7136
2023-07-30T07:43:56.3195442Z, 7eda8203-a249-e411-b0cc-f8bc1246af59,      176513        14.2139         4.010561        33.1125        14.1728      1501.82        57.5110
2023-07-30T07:43:59.3195439Z, 7eda8203-a249-e411-b0cc-f8bc1246af59,      176514        14.2097         4.011059        33.1207        14.2747      1502.16        57.6944
2023-07-30T07:44:02.3204516Z, 7eda8203-a249-e411-b0cc-f8bc1246af59,      176515        14.2118         4.011656        33.1244        14.2021      1501.93        57.5638
2023-07-30T07:44:05.3204202Z, 7eda8203-a249-e411-b0cc-f8bc1246af59,      176516        14.2168         4.012254        33.1257        14.3175      1502.30        57.7714
2023-07-30T07:44:08.3107073Z, 7eda8203-a249-e411-b0cc-f8bc1246af59,      176517        14.2309         4.012852        33.1190        14.2162      1501.97        57.5892
2023-07-30T07:44:11.3108298Z, 7eda8203-a249-e411-b0cc-f8bc1246af59,      176518        14.2542         4.013446        33.1045        14.3677      1502.44        57.8618
2023-07-30T07:44:14.3108642Z, 7eda8203-a249-e411-b0cc-f8bc1246af59,      176519        14.2825         4.014044        33.0857        14.4032      1502.53        57.9258
2023-07-30T07:44:17.3108527Z, 7eda8203-a249-e411-b0cc-f8bc1246af59,      176520        14.2995         4.014642        33.0767        14.3906      1502.48        57.9031
2023-07-30T07:44:20.3067880Z, 7eda8203-a249-e411-b0cc-f8bc1246af59,      176521        14.3079         4.015336        33.0758        14.3473      1502.34        57.8251
2023-07-30T07:44:23.2967922Z, 7eda8203-a249-e411-b0cc-f8bc1246af59,      176522        14.3101         4.016035        33.0804        14.3543      1502.37        57.8377
2023-07-30T07:44:26.2970378Z, 7eda8203-a249-e411-b0cc-f8bc1246af59,      176523        14.3094         4.016730        33.0874        14.3197      1502.27        57.7755
2023-07-30T07:44:29.2970208Z, 7eda8203-a249-e411-b0cc-f8bc1246af59,      176524        14.3129         4.017428        33.0908        14.3878      1502.49        57.8980
2023-07-30T07:44:32.2970083Z, 7eda8203-a249-e411-b0cc-f8bc1246af59,      176525        14.3207         4.018123        33.0905        14.1974      1501.87        57.5554
2023-07-30T07:44:35.2969853Z, 7eda8203-a249-e411-b0cc-f8bc1246af59,      176526        14.3313         4.018922        33.0888        14.2007      1501.88        57.5612
2023-07-30T07:44:38.2980007Z, 7eda8203-a249-e411-b0cc-f8bc1246af59,      176527        14.3468         4.019617        33.0819        14.1557      1501.73        57.4802
2023-07-30T07:44:41.2975872Z, 7eda8203-a249-e411-b0cc-f8bc1246af59,      176528        14.3701         4.020412        33.0693        14.0406      1501.34        57.2730
2023-07-30T07:44:44.2981966Z, 7eda8203-a249-e411-b0cc-f8bc1246af59,      176529        14.3892         4.021111        33.0594        13.9630      1501.08        57.1334
2023-07-30T07:44:47.2981579Z, 7eda8203-a249-e411-b0cc-f8bc1246af59,      176530        14.4018         4.021906        33.0558        13.9055      1500.88        57.0298
2023-07-30T07:44:50.2985829Z, 7eda8203-a249-e411-b0cc-f8bc1246af59,      176531        14.4068         4.022702        33.0589        14.0337      1501.31        57.2606
2023-07-30T07:44:53.2985625Z, 7eda8203-a249-e411-b0cc-f8bc1246af59,      176532        14.4047         4.023398        33.0671        13.9797      1501.14        57.1634
2023-07-30T07:44:56.2987554Z, 7eda8203-a249-e411-b0cc-f8bc1246af59,      176533        14.3948         4.024194        33.0828        14.2098      1501.91        57.5777
2023-07-30T07:44:59.2988928Z, 7eda8203-a249-e411-b0cc-f8bc1246af59,      176534        14.3708         4.024990        33.1107        14.2164      1501.96        57.5894
2023-07-30T07:45:02.2988679Z, 7eda8203-a249-e411-b0cc-f8bc1246af59,      176535        14.3405         4.025887        33.1449        14.2004      1501.95        57.5608
2023-07-30T07:45:05.2998774Z, 7eda8203-a249-e411-b0cc-f8bc1246af59,      176536        14.2981         4.026684        33.1886        14.2348      1502.11        57.6227
2023-07-30T07:45:08.2994491Z, 7eda8203-a249-e411-b0cc-f8bc1246af59,      176537        14.2422         4.027480        33.2440        14.2622      1502.26        57.671
2023-07-30T07:45:08.4099818Z, 7eda8203-a249-e411-b0cc-f8bc1246af59, 9
2023-07-30T07:45:11.2996243Z, 7eda8203-a249-e411-b0cc-f8bc1246af59,      176538        14.1856         4.028181        33.2993        14.2865      1502.41        57.7157
2023-07-30T07:45:14.2998610Z, 7eda8203-a249-e411-b0cc-f8bc1246af59,      176539        14.1481         4.028877        33.3381        14.2587      1502.36        57.665
2023-07-30T07:45:14.4104194Z, 7eda8203-a249-e411-b0cc-f8bc1246af59, 6
2023-07-30T07:45:17.2998429Z, 7eda8203-a249-e411-b0cc-f8bc1246af59,      176540        14.1297         4.029573        33.3605        14.3741      1502.76        57.873
2023-07-30T07:45:17.4103852Z, 7eda8203-a249-e411-b0cc-f8bc1246af59, 4
2023-07-30T07:45:20.3008388Z, 7eda8203-a249-e411-b0cc-f8bc1246af59,      176541        14.1297         4.030169        33.3660        14.4706      1503.08        58.047
2023-07-30T07:45:20.4103769Z, 7eda8203-a249-e411-b0cc-f8bc1246af59, 1
2023-07-30T07:45:23.3008202Z, 7eda8203-a249-e411-b0cc-f8bc1246af59,      176542        14.1389         4.030667        33.3626        14.4982      1503.16        58.0967
2023-07-30T07:45:26.3008864Z, 7eda8203-a249-e411-b0cc-f8bc1246af59,      176543        14.1587         4.031065        33.3491        14.4980      1503.15        58.096
2023-07-30T07:45:26.4114465Z, 7eda8203-a249-e411-b0cc-f8bc1246af59, 4
2023-07-30T07:45:29.3008731Z, 7eda8203-a249-e411-b0cc-f8bc1246af59,      176544        14.1828         4.031363        33.3311        14.5256      1503.22        58.146
2023-07-30T07:45:29.4113841Z, 7eda8203-a249-e411-b0cc-f8bc1246af59, 2
2023-07-30T07:45:32.3009602Z, 7eda8203-a249-e411-b0cc-f8bc1246af59,      176545        14.2061         4.031664        33.3137        14.5446      1503.26        58.180
