ACQ Timestamp (Server Time in UTC), MessageID, Data Value For: TSG-0289-Message
2023-09-10T00:00:54.3811051Z, 52da8203-a249-e411-b0cc-f8bc1246af59, t1= 23.0057, c1= 0.05240, s=  0.2645, sv=1493.948, t2= 23.8750
2023-09-10T00:00:55.4117607Z, 52da8203-a249-e411-b0cc-f8bc1246af59, t1= 23.0061, c1= 0.05241, s=  0.2645, sv=1493.950, t2= 23.8757
2023-09-10T00:00:56.4411718Z, 52da8203-a249-e411-b0cc-f8bc1246af59, t1= 23.0060, c1= 0.05241, s=  0.2645, sv=1493.951, t2= 23.8760
2023-09-10T00:00:57.4617267Z, 52da8203-a249-e411-b0cc-f8bc1246af59, t1= 23.0059, c1= 0.05241, s=  0.2645, sv=1493.952, t2= 23.8765
2023-09-10T00:00:58.4912715Z, 52da8203-a249-e411-b0cc-f8bc1246af59, t1= 23.0058, c1= 0.05240, s=  0.2645, sv=1493.952, t2= 23.8765
2023-09-10T00:00:59.5218065Z, 52da8203-a249-e411-b0cc-f8bc1246af59, t1= 23.0067, c1= 0.05240, s=  0.2644, sv=1493.955, t2= 23.8776
2023-09-10T00:01:00.5523278Z, 52da8203-a249-e411-b0cc-f8bc1246af59, t1= 23.0068, c1= 0.05240, s=  0.2644, sv=1493.956, t2= 23.8780
2023-09-10T00:01:01.5719046Z, 52da8203-a249-e411-b0cc-f8bc1246af59, t1= 23.0067, c1= 0.05240, s=  0.2645, sv=1493.955, t2= 23.8777
2023-09-10T00:01:02.6020052Z, 52da8203-a249-e411-b0cc-f8bc1246af59, t1= 23.0068, c1= 0.05241, s=  0.2645, sv=1493.957, t2= 23.8782
2023-09-10T00:01:03.6325279Z, 52da8203-a249-e411-b0cc-f8bc1246af59, t1= 23.0064, c1= 0.05241, s=  0.2645, sv=1493.957, t2= 23.8783
2023-09-10T00:01:04.6620821Z, 52da8203-a249-e411-b0cc-f8bc1246af59, t1= 23.0077, c1= 0.05242, s=  0.2645, sv=1493.958, t2= 23.8788
2023-09-10T00:01:05.6826256Z, 52da8203-a249-e411-b0cc-f8bc1246af59, t1= 23.0070, c1= 0.05241, s=  0.2645, sv=1493.959, t2= 23.8792
2023-09-10T00:01:06.7126731Z, 52da8203-a249-e411-b0cc-f8bc1246af59, t1= 23.0075, c1= 0.05240, s=  0.2644, sv=1493.959, t2= 23.8789
2023-09-10T00:01:07.7422331Z, 52da8203-a249-e411-b0cc-f8bc1246af59, t1= 23.0074, c1= 0.05240, s=  0.2645, sv=1493.960, t2= 23.8795
2023-09-10T00:01:08.7628368Z, 52da8203-a249-e411-b0cc-f8bc1246af59, t1= 23.0077, c1= 0.05240, s=  0.2645, sv=1493.962, t2= 23.8802
2023-09-10T00:01:09.7925991Z, 52da8203-a249-e411-b0cc-f8bc1246af59, t1= 23.0077, c1= 0.05241, s=  0.2645, sv=1493.963, t2= 23.8803
