ACQ Timestamp (Server Time in UTC), MessageID, Data Value For: TSG21-SBE38-Temp-F-Message
2023-08-27T19:36:36.6082485Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,54.02,12.2339
2023-08-27T19:36:37.6424580Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,54.01,12.23
2023-08-27T19:36:38.6683324Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,54.02,12.2331
2023-08-27T19:36:39.7078073Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,54.03,12.2364
2023-08-27T19:36:40.7378509Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,54.03,12.2377
2023-08-27T19:36:41.7684131Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,54.03,12.2399
2023-08-27T19:36:42.8086211Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,54.03,12.2397
2023-08-27T19:36:43.8386564Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,54.03,12.241
2023-08-27T19:36:44.8781699Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,54.03,12.2388
2023-08-27T19:36:45.9081754Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,54.02,12.2357
2023-08-27T19:36:46.9491225Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,54.02,12.2335
2023-08-27T19:36:47.9786532Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,54.02,12.2325
2023-08-27T19:36:49.0186177Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,54.01,12.2304
2023-08-27T19:36:50.0486102Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,54.01,12.226
2023-08-27T19:36:51.0891411Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,54,12.2228
2023-08-27T19:36:52.1194119Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,54,12.2195
2023-08-27T19:36:53.1594030Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,53.99,12.2151
2023-08-27T19:36:54.1889075Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,53.98,12.2115
2023-08-27T19:36:55.2294639Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,53.99,12.2181
2023-08-27T19:36:56.2589879Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,54.03,12.2373
2023-08-27T19:36:57.2992312Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,54.05,12.2499
2023-08-27T19:36:58.3293610Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,54.06,12.256
2023-08-27T19:36:59.3693318Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,54.06,12.2544
2023-08-27T19:37:00.4098119Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,54.06,12.2578
2023-08-27T19:37:01.4398060Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,54.03,12.2373
2023-08-27T19:37:02.4793060Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,53.99,12.2194
2023-08-27T19:37:03.5098282Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,53.97,12.2081
2023-08-27T19:37:04.5498323Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,53.96,12.2009
2023-08-27T19:37:05.5799715Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,53.95,12.1951
2023-08-27T19:37:06.6199570Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,53.94,12.1897
2023-08-27T19:37:07.6505086Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,53.94,12.1873
2023-08-27T19:37:08.6899848Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,53.93,12.1846
2023-08-27T19:37:09.7205387Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,53.93,12.1822
2023-08-27T19:37:10.7600307Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,53.92,12.1796
2023-08-27T19:37:11.7905560Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,53.91,12.1733
2023-08-27T19:37:12.8300441Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,53.91,12.1712
2023-08-27T19:37:13.8602988Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,53.9,12.1678
2023-08-27T19:37:14.9003278Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,53.9,12.1648
2023-08-27T19:37:15.9306985Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,53.89,12.163
2023-08-27T19:37:16.9705064Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,53.91,12.1738
2023-08-27T19:37:18.0010014Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,53.94,12.1904
2023-08-27T19:37:19.0405714Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,54,12.2239
2023-08-27T19:37:20.0711404Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,54.06,12.257
