ACQ Timestamp (Server Time in UTC), MessageID, Data Value For: Fluorometer-6993RTD-Message
2021-09-21T00:06:04.2815034Z, 7fda8203-a249-e411-b0cc-f8bc1246af59, 0  1996 ::  9/20/21 15:30:06 = 1.489  (RAW)   11.4 (C)
2021-09-21T00:06:09.2816575Z, 7fda8203-a249-e411-b0cc-f8bc1246af59, 0  1997 ::  9/20/21 15:30:11 = 1.488  (RAW)   11.4 (C)
2021-09-21T00:06:14.2821122Z, 7fda8203-a249-e411-b0cc-f8bc1246af59, 0  1998 ::  9/20/21 15:30:16 = 1.482  (RAW)   11.4 (C)
2021-09-21T00:06:19.2722953Z, 7fda8203-a249-e411-b0cc-f8bc1246af59, 0  1999 ::  9/20/21 15:30:21 = 1.481  (RAW)   11.4 (C)
2021-09-21T00:06:24.2625187Z, 7fda8203-a249-e411-b0cc-f8bc1246af59, 0  2000 ::  9/20/21 15:30:26 = 1.486  (RAW)   11.4 (C)
2021-09-21T00:06:29.2630570Z, 7fda8203-a249-e411-b0cc-f8bc1246af59, 0  2001 ::  9/20/21 15:30:31 = 1.486  (RAW)   11.4 (C)
2021-09-21T00:06:34.2532432Z, 7fda8203-a249-e411-b0cc-f8bc1246af59, 0  2002 ::  9/20/21 15:30:36 = 1.486  (RAW)   11.4 (C)
2021-09-21T00:06:39.2534077Z, 7fda8203-a249-e411-b0cc-f8bc1246af59, 0  2003 ::  9/20/21 15:30:41 = 1.491  (RAW)   11.4 (C)
2021-09-21T00:06:44.2628933Z, 7fda8203-a249-e411-b0cc-f8bc1246af59, 0  2004 ::  9/20/21 15:30:46 = 1.490  (RAW)   11.4 (C)
2021-09-21T00:06:49.2530836Z, 7fda8203-a249-e411-b0cc-f8bc1246af59, 0  2005 ::  9/20/21 15:30:51 = 1.478  (RAW)   11.4 (C)
2021-09-21T00:06:54.2433079Z, 7fda8203-a249-e411-b0cc-f8bc1246af59, 0  2006 ::  9/20/21 15:30:56 = 1.486  (RAW)   11.4 (C)
2021-09-21T00:06:59.2437117Z, 7fda8203-a249-e411-b0cc-f8bc1246af59, 0  2007 ::  9/20/21 15:31:01 = 1.486  (RAW)   11.4 (C)
2021-09-21T00:07:04.2936441Z, 7fda8203-a249-e411-b0cc-f8bc1246af59, 0  2008 ::  9/20/21 15:31:06 = 1.491  (RAW)   11.4 (C)
2021-09-21T00:07:09.2739256Z, 7fda8203-a249-e411-b0cc-f8bc1246af59, 0  2009 ::  9/20/21 15:31:11 = 1.491  (RAW)   11.4 (C)
2021-09-21T00:07:14.2739778Z, 7fda8203-a249-e411-b0cc-f8bc1246af59, 0  2010 ::  9/20/21 15:31:16 = 1.490  (RAW)   11.4 (C)
